,class
0,STAR
1,STAR
2,STAR
3,GALAXY
4,GALAXY
5,GALAXY
6,GALAXY
7,GALAXY
8,STAR
9,GALAXY
10,GALAXY
11,STAR
12,GALAXY
13,QSO
14,STAR
15,GALAXY
16,GALAXY
17,STAR
18,STAR
19,GALAXY
20,STAR
21,STAR
22,STAR
23,GALAXY
24,QSO
25,STAR
26,GALAXY
27,GALAXY
28,STAR
29,STAR
30,QSO
31,GALAXY
32,GALAXY
33,STAR
34,STAR
35,GALAXY
36,GALAXY
37,GALAXY
38,GALAXY
39,GALAXY
40,GALAXY
41,GALAXY
42,STAR
43,GALAXY
44,GALAXY
45,GALAXY
46,GALAXY
47,QSO
48,GALAXY
49,GALAXY
50,STAR
51,STAR
52,GALAXY
53,GALAXY
54,GALAXY
55,STAR
56,GALAXY
57,GALAXY
58,GALAXY
59,STAR
60,GALAXY
61,GALAXY
62,GALAXY
63,GALAXY
64,STAR
65,GALAXY
66,STAR
67,STAR
68,STAR
69,STAR
70,STAR
71,STAR
72,GALAXY
73,GALAXY
74,STAR
75,QSO
76,GALAXY
77,GALAXY
78,STAR
79,GALAXY
80,STAR
81,STAR
82,STAR
83,QSO
84,STAR
85,STAR
86,GALAXY
87,STAR
88,STAR
89,GALAXY
90,STAR
91,STAR
92,GALAXY
93,GALAXY
94,GALAXY
95,GALAXY
96,GALAXY
97,GALAXY
98,GALAXY
99,STAR
100,STAR
101,GALAXY
102,STAR
103,GALAXY
104,QSO
105,GALAXY
106,STAR
107,QSO
108,GALAXY
109,STAR
110,STAR
111,STAR
112,GALAXY
113,GALAXY
114,GALAXY
115,STAR
116,GALAXY
117,GALAXY
118,GALAXY
119,QSO
120,QSO
121,GALAXY
122,QSO
123,STAR
124,GALAXY
125,STAR
126,STAR
127,QSO
128,STAR
129,GALAXY
130,GALAXY
131,GALAXY
132,GALAXY
133,STAR
134,STAR
135,STAR
136,STAR
137,STAR
138,STAR
139,STAR
140,GALAXY
141,STAR
142,STAR
143,STAR
144,GALAXY
145,GALAXY
146,STAR
147,GALAXY
148,GALAXY
149,GALAXY
150,GALAXY
151,GALAXY
152,GALAXY
153,GALAXY
154,STAR
155,GALAXY
156,STAR
157,STAR
158,STAR
159,QSO
160,GALAXY
161,GALAXY
162,STAR
163,STAR
164,STAR
165,QSO
166,GALAXY
167,STAR
168,STAR
169,GALAXY
170,GALAXY
171,GALAXY
172,GALAXY
173,STAR
174,QSO
175,STAR
176,STAR
177,STAR
178,QSO
179,GALAXY
180,GALAXY
181,STAR
182,STAR
183,QSO
184,STAR
185,STAR
186,GALAXY
187,STAR
188,STAR
189,QSO
190,GALAXY
191,GALAXY
192,GALAXY
193,GALAXY
194,GALAXY
195,GALAXY
196,STAR
197,QSO
